Country Code,Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Restaurant Name len,Address len
216,-93.6300803,41.5857431,40,0,0,0,3,4.5,1109,6,3
216,-93.621631,41.585465,25,0,0,0,2,4.6,728,12,3
216,-93.637401,41.587219,10,0,0,0,1,4.4,659,17,3
216,-93.620726,41.58536,40,0,0,0,3,4.2,370,28,3
216,-93.629436,41.584027,40,0,0,0,3,4.3,532,6,3
216,-93.611366,41.590819,25,0,0,0,2,4.8,860,8,3
216,-93.61474,41.590106,10,0,0,0,1,4.2,943,25,3
216,-93.577383,41.601415,70,0,0,0,4,4.1,476,18,3
216,-93.645245,41.545869,10,0,0,0,1,4.1,218,16,3
216,-93.6976773,41.6714654,10,0,0,0,1,4.0,214,14,3
216,-93.659797,41.603901,25,0,0,0,2,4.3,699,12,3
216,-93.772033,41.615083,25,0,0,0,2,3.8,308,27,3
216,-93.73624,41.594039,25,0,0,0,2,4.0,157,9,3
216,-93.7441981,41.5991771,40,0,0,0,3,4.2,530,25,3
14,153.137401,-26.783576,7,0,0,0,1,3.6,29,17,3
216,-90.667668,42.504759,10,0,0,0,1,3.4,33,16,3
216,-90.6499328,42.5124724,25,0,0,0,2,3.3,40,17,3
216,-90.6684746,42.5032004,10,0,0,0,1,3.4,153,26,3
216,-90.658609,42.496464,25,0,0,0,2,3.3,65,11,3
216,-90.664029,42.495689,25,0,0,0,2,3.4,58,16,3
216,-90.715247,42.492018,25,0,0,0,2,3.5,100,17,3
216,-90.740213,42.49092,10,0,0,0,1,3.6,156,13,3
216,-90.7264,42.4955,0,0,0,0,1,3.5,74,29,3
216,-90.645294,42.516621,25,0,0,0,2,3.6,117,10,3
216,-90.712084,42.492963,40,0,0,0,3,3.7,83,38,3
216,-90.6646,42.5043,25,0,0,0,2,3.6,48,28,3
216,-90.668164,42.503075,40,0,0,0,3,3.8,198,13,3
216,-90.7055,42.4916,10,0,0,0,1,3.5,126,11,3
216,-90.6677349,42.500191,10,0,0,0,1,3.5,119,21,3
216,-90.6691,42.5048,25,0,0,0,2,3.6,140,26,3
216,-90.6651,42.4974,40,0,0,0,3,3.6,159,26,3
216,-90.6658,42.4963,25,0,0,0,2,3.6,131,14,3
216,-90.663686,42.4982789,10,0,0,0,1,3.5,60,26,3
216,-90.684882,42.527556,25,0,0,0,2,3.7,89,14,3
216,-90.658988,42.496378,70,0,0,0,4,3.6,72,15,3
14,153.593331,-28.862663,20,0,0,0,2,4.1,56,17,3
216,-119.252694,39.607515,10,0,0,0,1,3.7,83,36,3
14,152.8771473,-26.6521332,30,0,0,0,3,3.5,37,15,3
14,143.714315,-38.517292,20,0,0,0,2,3.7,29,15,3
216,-83.8461,34.0901,25,0,0,0,2,4.4,239,26,3
216,-83.520693,34.61802,10,0,0,0,1,4.1,235,29,3
216,-83.985353,34.532973,25,0,0,0,2,3.8,88,21,3
216,-83.983939,34.533626,10,0,0,0,1,3.9,133,15,3
216,-83.989317,34.541044,10,0,0,0,1,4.4,267,32,3
216,-83.986119,34.533198,25,0,0,0,2,4.1,171,22,3
216,-83.938024,34.183573,25,0,0,0,2,3.8,107,26,3
216,-83.926217,34.185707,40,0,0,0,3,4.3,164,10,3
216,-83.927794,34.180043,10,0,0,0,1,4.1,182,23,3
216,-83.838457,34.285102,25,0,0,0,2,4.9,681,30,3
216,-83.857993,34.300182,10,0,0,0,1,4.6,357,11,3
216,-83.860098,34.222755,25,0,0,0,2,3.8,89,28,6
216,-83.824023,34.300567,25,0,0,0,2,4.2,350,5,3
216,-83.8272,34.3166,10,0,0,0,1,4.3,298,15,3
216,-83.82686,34.300332,25,0,0,0,2,4.2,319,7,3
216,-83.727741,34.701594,40,0,0,0,3,3.8,114,8,3
216,-83.7345,34.7024,10,0,0,0,1,3.9,136,21,3
216,-83.7334,34.7021,25,0,0,0,2,2.2,108,12,3
216,-83.713498,34.691208,10,0,0,0,1,4.0,161,39,3
14,144.1387014,-37.3123267,20,0,0,0,2,3.8,192,19,4
14,144.110062,-37.275494,7,0,0,0,1,3.8,93,25,3
14,150.6710743,-35.0388698,20,0,0,0,2,4.1,40,13,3
14,145.7287133,-38.6347458,7,0,0,0,1,3.7,100,14,3
